TOP2A,7153,95.23206,7153,nan
B3GNT1,nan,nan,nan,TRUE
SCP2,6342,97.84115,6342,nan
RAD9A,5883,95.48748,5883,nan
DRAP1,10589,101.236404,10589,nan
PCMT1,5110,97.66584,5110,nan
MYC,4609,95.00369,4609,nan
POLB,5423,95.80326,5423,nan
CETN3,1070,98.501884,1070,nan
SMC4,10051,94.99332,10051,nan
SMARCD2,6603,97.60979,6603,nan
MPZL1,9019,100.18511,9019,nan
EBNA1BP2,10969,98.61244,10969,nan
TATDN2,9797,102.98802,9797,nan
LRPAP1,4043,99.29961,4043,nan
TBPL1,9519,97.71701,9519,nan
RAE1,8480,98.61441,8480,nan
CDK1,983,97.43156,983,nan
SLC35A1,10559,100.511024,10559,nan
NIPSNAP1,8508,97.87945,8508,nan
BCL7B,9275,96.31522,9275,nan
TIMELESS,8914,96.60484,8914,nan
DHX29,54505,95.91718,54505,nan
TCEA2,6919,100.32287,6919,nan
FHL2,2274,96.01693,2274,nan
FKBP4,2288,96.51724,2288,nan
KAT6A,7994,98.024666,7994,nan
MAP3K4,4216,100.501495,4216,nan
ZFP36,7538,103.02647,7538,nan
INPP1,3628,101.771774,3628,nan
EPB41L2,2037,97.36676,2037,nan
GNAI2,2771,100.65314,2771,nan
TSTA3,7264,96.57915,7264,nan
DNMT1,1786,97.00408,1786,nan
RAB27A,5873,96.17401,5873,nan
DDR1,780,95.334785,780,nan
LPGAT1,9926,95.159485,9926,nan
DUSP11,8446,95.32316,8446,nan
TP53BP2,7159,96.68686,7159,nan
CDKN1A,1026,97.752266,1026,nan
TJP1,7082,98.247765,7082,nan
ABCB6,10058,96.13582,10058,nan
MTHFD2,10797,99.1688,10797,nan
PRAF2,11230,101.219894,11230,nan
DNTTIP2,30836,97.417786,30836,nan
HTATSF1,27336,98.635284,27336,nan
NCAPD2,9918,97.2675,9918,nan
TMEM109,79073,101.35818,79073,nan
NUP93,9688,97.13177,9688,nan
PLA2G15,23659,97.02387,23659,nan
PIP4K2B,8396,98.52756,8396,nan
MYCBP2,23077,100.13527,23077,nan
PGRMC1,10857,97.972,10857,nan
AARS,16,97.54881,16,nan
GPC1,2817,98.0187,2817,nan
ELAC2,60528,97.39861,60528,nan
PLSCR1,5359,108.85608,5359,nan
CTSL1,nan,nan,nan,TRUE
CTSD,1509,97.60979,1509,nan
ARHGEF2,9181,97.87945,9181,nan
ILK,3611,99.44113,3611,nan
NFIL3,4783,96.7974,4783,nan
ARL4C,10123,101.545906,10123,nan
CPNE3,8895,99.03526,8895,nan
SCRN1,9805,96.780426,9805,nan
MAN2B1,4125,101.25947,4125,nan
DCTD,1635,98.63689,1635,nan
MBNL1,4154,100.45164,4154,nan
MYCBP,26292,100.23125,26292,nan
PTPN1,5770,97.21322,5770,nan
BRP44,nan,nan,nan,TRUE
ECD,11319,99.27222,11319,nan
CIRBP,1153,99.91488,1153,nan
PRSS23,11098,97.21322,11098,nan
P4HA2,8974,96.60356,8974,nan
ATP6V0B,533,97.39882,533,nan
CAPN1,823,103.01433,823,nan
STXBP1,6812,99.85251,6812,nan
ITGB5,3693,99.05953,3693,nan
SLC11A2,4891,100.18511,4891,nan
PDIA5,10954,94.20931,10954,nan
RAP1GAP,5909,99.65709,5909,nan
NOLC1,9221,97.43944,9221,nan
CAT,847,93.39142,847,nan
DUSP14,11072,97.648766,11072,nan
TRIB1,10221,97.58054,10221,nan
TP53BP1,7158,94.07258,7158,nan
BECN1,8678,98.00038,8678,nan
KDELR2,11014,98.364655,11014,nan
ELAVL1,1994,96.794205,1994,nan
IGF2R,3482,97.587006,3482,nan
TIPARP,25976,98.85624,25976,nan
CRTAP,10491,96.712746,10491,nan
GMNN,51053,97.8972,51053,nan
CYTH1,9267,100.29079,9267,nan
PRCP,5547,95.62977,5547,nan
SMARCA4,6597,98.61441,6597,nan
PYGL,5836,99.451836,5836,nan
RPA2,6118,93.155655,6118,nan
GTF2E2,2961,96.560616,2961,nan
ANXA7,310,98.76218,310,nan
TXNRD1,7296,98.63585,7296,nan
CRYZ,1429,96.8995,1429,nan
GAA,2548,95.33654,2548,nan
SKIV2L,6499,97.53187,6499,nan
BLMH,642,95.156494,642,nan
RRP1B,23076,96.49151,23076,nan
TSPAN3,10099,96.173035,10099,nan
KEAP1,9817,99.727806,9817,nan
SMC3,9126,95.760544,9126,nan
LBR,3930,98.38277,3930,nan
PPIE,10450,96.87524,10450,nan
